"record_id","month","day","year","plot_id","species_id","sex","hindfoot_length","weight","cs"
23700,4,14,1996,12,"RM","M",18,12,"3"
23701,4,14,1996,17,"DM","F",38,NA,"3"
23702,4,14,1996,21,"PF","M",15,8,"3"
23703,4,14,1996,2,"DM","F",36,49,"3"
23704,4,14,1996,18,"PF","M",17,8,"3"
23705,4,14,1996,17,"DM","M",38,51,"3"
23706,4,14,1996,22,"DM","F",37,43,"3"
23707,4,14,1996,21,"PP","F",25,26,"3"
23708,4,14,1996,12,"OT","F",22,23,"3"
23709,4,14,1996,7,"RM","F",17,11,"3"
23710,4,14,1996,12,"OL","M",21,27,"3"
23711,4,14,1996,19,"PP","M",24,18,"3"
23712,4,14,1996,17,"RM","F",16,9,"3"
23713,4,14,1996,23,"RM","M",17,13,"3"
23714,4,14,1996,7,"AH","",NA,NA,"3"
23715,4,14,1996,1,"DO","M",37,38,"3"
23716,4,14,1996,2,"PE","F",19,25,"3"
23717,4,14,1996,19,"PF","M",17,8,"3"
23718,4,14,1996,18,"PP","M",24,20,"3"
23719,4,14,1996,24,"PM","M",20,17,"3"
23720,4,14,1996,1,"DO","M",34,37,"3"
23721,4,14,1996,19,"PF","M",17,9,"3"
23722,4,14,1996,12,"RM","M",18,11,"3"
23723,4,14,1996,17,"RM","M",17,10,"3"
23724,4,14,1996,20,"PP","F",24,25,"3"
23725,4,14,1996,7,"RM","M",15,9,"3"
23726,4,14,1996,19,"PP","M",23,21,"3"
23727,4,14,1996,1,"PF","F",15,7,"3"
23728,4,14,1996,19,"PP","M",22,18,"3"
23729,4,14,1996,2,"PE","F",20,22,"3"
23730,4,14,1996,24,"PE","M",20,20,"3"
23731,4,14,1996,18,"PF","M",16,9,"3"
23732,4,15,1996,3,"PP","M",22,20,"3"
23733,4,15,1996,13,"PM","M",20,21,"3"
23734,4,15,1996,16,"DM","F",31,30,"3"
23735,4,15,1996,3,"PE","F",20,19,"3"
23736,4,15,1996,11,"PP","M",22,22,"3"
23737,4,15,1996,16,"RM","M",15,10,"3"
23738,4,15,1996,3,"SS","",NA,NA,"3"
23739,4,15,1996,11,"DM","M",37,51,"3"
23740,4,15,1996,14,"SS","",NA,NA,"3"
23741,4,15,1996,3,"PP","M",23,20,"3"
23742,4,15,1996,4,"PF","M",15,8,"3"
23743,4,15,1996,6,"PF","F",15,8,"3"
23744,4,15,1996,8,"PF","M",16,8,"3"
23745,4,15,1996,15,"PF","M",14,7,"3"
23746,4,15,1996,3,"PP","M",24,25,"3"
23747,4,15,1996,9,"DO","F",38,46,"3"
23748,4,15,1996,3,"PP","M",24,22,"3"
23749,4,15,1996,4,"DM","F",37,49,"3"
23750,4,15,1996,3,"DO","F",36,41,"3"
23751,4,15,1996,11,"DM","M",34,49,"3"
23752,4,15,1996,8,"PP","F",21,17,"3"
23753,4,15,1996,13,"DM","M",37,49,"3"
23754,4,15,1996,14,"DM","F",34,19,"3"
23755,4,15,1996,5,"DO","M",34,50,"3"
23756,4,15,1996,11,"DO","F",34,22,"3"
23757,4,15,1996,5,"OT","F",20,25,"3"
23758,4,15,1996,3,"RM","M",18,12,"3"
23759,4,15,1996,4,"DM","M",36,50,"3"
23760,4,15,1996,13,"PM","F",21,22,"3"
23761,4,15,1996,15,"PF","F",16,7,"3"
23762,4,15,1996,3,"DO","F",35,46,"3"
23763,4,15,1996,5,"PF","F",15,8,"3"
23764,4,15,1996,6,"PF","M",15,9,"3"
23765,4,15,1996,8,"SS","",NA,NA,"3"
23766,4,15,1996,11,"DO","F",37,49,"3"
23767,4,15,1996,5,"DO","F",NA,NA,"3"
23768,4,15,1996,3,"PP","F",21,15,"3"
23769,4,15,1996,9,"DM","F",36,37,"3"
23770,4,15,1996,3,"DO","M",37,50,"3"
23771,4,15,1996,4,"DM","M",37,44,"3"
23772,4,15,1996,6,"DO","M",35,42,"3"
23773,4,15,1996,3,"PE","M",21,19,"3"
23774,4,15,1996,8,"DO","M",33,49,"3"
23775,4,15,1996,14,"DM","M",37,50,"3"
23776,4,15,1996,3,"RM","M",18,11,"3"
23777,4,15,1996,4,"PF","M",16,11,"3"
23778,4,15,1996,11,"DO","M",35,51,"3"
23779,4,15,1996,4,"DM","F",37,47,"3"
23780,4,15,1996,6,"DO","M",33,48,"3"
23781,4,15,1996,8,"DO","M",35,49,"3"
23782,4,15,1996,13,"PF","F",15,8,"3"
23783,4,15,1996,15,"RM","M",17,14,"3"
23784,4,15,1996,6,"PF","M",14,NA,"3"
23785,4,15,1996,8,"PF","M",15,9,"3"
23786,4,15,1996,15,"PF","F",15,12,"3"
23787,4,15,1996,3,"PP","M",24,23,"3"
23788,4,15,1996,11,"PM","M",21,17,"3"
23789,4,15,1996,8,"DO","M",34,30,"3"
23790,4,15,1996,3,"PF","M",15,7,"3"
23791,4,15,1996,3,"PP","F",23,24,"3"
23792,4,15,1996,4,"PF","F",16,8,"3"
23793,4,15,1996,8,"DO","M",38,29,"3"
23794,4,15,1996,14,"DM","",NA,NA,"3"
23795,4,15,1996,8,"PF","F",16,8,"3"
23796,4,15,1996,13,"PM","F",21,13,"3"
23797,4,15,1996,4,"PP","F",21,11,"3"
23798,4,15,1996,8,"PP","M",23,20,"3"
23799,4,15,1996,11,"RM","F",17,13,"3"
23800,4,15,1996,8,"PP","F",24,19,"3"
23801,4,15,1996,14,"PF","F",16,8,"3"
23802,4,15,1996,15,"PF","M",17,8,"3"
23803,4,15,1996,5,"PF","M",16,7,"3"
23804,4,15,1996,3,"PF","M",15,8,"3"
23805,4,15,1996,14,"DM","F",37,44,"3"
23806,4,15,1996,15,"DM","M",38,35,"3"
23807,4,15,1996,4,"PF","M",15,8,"3"
23808,4,15,1996,15,"AH","",NA,NA,"3"
23809,4,15,1996,6,"DO","M",35,23,"3"
23810,4,15,1996,11,"DM","M",36,51,"3"
23811,4,15,1996,8,"DO","F",31,49,"3"
23812,4,15,1996,3,"PP","M",23,42,"3"
23813,4,15,1996,4,"DM","M",40,51,"3"
23814,4,15,1996,6,"OL","M",19,27,"3"
23815,4,15,1996,11,"RM","M",16,11,"3"
23816,4,15,1996,3,"OL","F",21,23,"3"
23817,4,15,1996,8,"PP","F",23,16,"3"
23818,4,15,1996,3,"PF","M",16,8,"3"
23819,4,15,1996,9,"PF","M",16,7,"3"
23820,4,15,1996,8,"DM","M",37,49,"3"
23821,4,15,1996,13,"DM","M",39,54,"3"
23822,4,15,1996,15,"PF","F",16,13,"3"
23823,4,15,1996,3,"OT","M",21,29,"3"
23824,4,15,1996,9,"DM","M",35,39,"3"
23825,4,15,1996,8,"PF","F",16,8,"3"
23826,4,15,1996,14,"DM","F",35,46,"3"
23827,4,15,1996,15,"AH","",NA,NA,"3"
23828,4,15,1996,3,"DO","F",38,48,"3"
23829,4,15,1996,6,"DO","M",35,41,"3"
23830,4,15,1996,11,"DO","M",37,NA,"3"
23831,4,15,1996,15,"PF","M",15,12,"3"
23832,4,15,1996,3,"DO","M",37,41,"3"
23833,4,15,1996,11,"RM","F",17,11,"3"
23834,4,15,1996,8,"PP","F",22,14,"3"
