"record_id","month","day","year","plot_id","species_id","sex","hindfoot_length","weight","cs"
11851,9,7,1986,15,"OT","M",22,22,"2"
11852,9,7,1986,11,"DM","F",35,45,"2"
11853,9,7,1986,8,"DS","M",54,151,"2"
11854,9,7,1986,13,"CB","",NA,NA,"2"
11855,9,7,1986,13,"DM","M",37,46,"2"
11856,9,7,1986,5,"DM","M",35,48,"2"
11857,9,7,1986,1,"DM","F",33,45,"2"
11858,9,7,1986,2,"DS","M",52,128,"2"
11859,9,7,1986,11,"DM","F",35,39,"2"
11860,9,7,1986,3,"OL","F",20,26,"2"
11861,9,7,1986,1,"SS","",NA,NA,"2"
11862,9,7,1986,2,"DM","M",35,45,"2"
11863,9,7,1986,3,"SS","",NA,NA,"2"
11864,9,7,1986,4,"DM","M",36,49,"2"
11865,9,7,1986,3,"PP","F",23,17,"2"
11866,9,7,1986,5,"DM","F",32,41,"2"
11867,9,7,1986,1,"DS","M",47,118,"2"
11868,9,7,1986,4,"DS","F",48,118,"2"
11869,9,7,1986,9,"DM","F",35,45,"2"
11870,9,7,1986,8,"DO","F",33,55,"2"
11871,9,7,1986,15,"AH","",NA,NA,"2"
11872,9,7,1986,1,"DS","M",52,150,"2"
11873,9,7,1986,9,"DM","M",37,46,"2"
11874,9,7,1986,11,"DM","F",36,43,"2"
11875,9,7,1986,8,"DS","F",50,127,"2"
11876,9,7,1986,1,"DM","M",37,54,"2"
11877,9,7,1986,2,"NL","M",34,202,"2"
11878,9,7,1986,5,"DO","M",36,51,"2"
11879,9,7,1986,2,"NL","F",32,135,"2"
11880,9,7,1986,9,"DM","M",35,47,"2"
11881,9,7,1986,3,"PP","F",22,17,"2"
11882,9,7,1986,13,"CB","",NA,NA,"2"
11883,9,7,1986,11,"DM","F",33,20,"2"
11884,9,7,1986,4,"DM","M",35,47,"2"
11885,9,7,1986,11,"DM","F",36,42,"2"
11886,9,7,1986,13,"DM","M",35,46,"2"
11887,9,7,1986,2,"NL","M",33,177,"2"
11888,10,4,1986,22,"OT","M",20,23,"2"
11889,10,4,1986,23,"PM","M",19,21,"2"
11890,10,4,1986,22,"DM","M",36,49,"2"
11891,10,4,1986,18,"SS","",NA,NA,"2"
11892,10,4,1986,20,"DM","F",33,34,"2"
11893,10,4,1986,18,"DM","F",35,43,"2"
11894,10,4,1986,24,"DM","F",35,41,"2"
11895,10,4,1986,14,"OL","M",22,35,"2"
11896,10,4,1986,21,"SH","M",28,55,"2"
11897,10,4,1986,14,"DM","F",35,48,"2"
11898,10,4,1986,14,"DM","F",36,45,"2"
11899,10,4,1986,18,"DM","M",34,NA,"2"
11900,10,4,1986,17,"SS","",NA,NA,"2"
11901,10,4,1986,19,"PM","F",20,25,"2"
11902,10,4,1986,6,"DO","M",37,54,"2"
11903,10,4,1986,17,"DM","M",35,46,"2"
11904,10,4,1986,17,"DO","F",36,63,"2"
11905,10,4,1986,12,"SS","",NA,NA,"2"
11906,10,4,1986,18,"DM","F",34,31,"2"
11907,10,4,1986,14,"DM","M",36,54,"2"
11908,10,4,1986,20,"NL","F",32,183,"2"
11909,10,4,1986,22,"DM","F",34,32,"2"
11910,10,4,1986,12,"DM","F",35,47,"2"
11911,10,4,1986,20,"DM","M",35,49,"2"
